,BCS,BCS
Akron,,
Alabama,1,1
Alabama-Birmingham,,
Arizona,1,1
Arizona State,1,1
Arkansas,1,1
Arkansas State,,
Auburn,1,1
Ball State,,
Baylor,1,1
Boise State,,
Boston College,1,1
Bowling Green,,
Brigham Young,,
Buffalo,,
California,1,1
Central Florida,,
Central Michigan,,
Cincinnati,1,1
Clemson,1,1
Colorado,1,1
Colorado State,,
Connecticut,1,1
Duke,1,1
East Carolina,,
Eastern Michigan,,
Florida,1,1
Florida Atlantic,,
Florida International,,
Florida State,1,1
Fresno State,,
Georgia,1,1
Georgia Tech,1,1
Hawaii,,
Houston,,
Idaho,,
Illinois,1,1
Indiana,1,1
Iowa,1,1
Iowa State,1,1
Kansas,1,1
Kansas State,1,1
Kent State,,
Kentucky,1,1
Louisiana State,1,1
Louisiana Tech,,
Louisville,1,1
Marshall,,
Maryland,1,1
Memphis,,
Miami,1,1
Miami (Ohio),,
Michigan,1,1
Michigan State,1,1
Middle Tennessee St.,,
Minnesota,1,1
Mississippi,1,1
Mississippi State,1,1
Missouri,1,1
Nebraska,1,1
Nevada,,
New Mexico,,
New Mexico State,,
North Carolina,1,1
North Carolina State,1,1
North Texas,,
Northern Illinois,,
Northwestern,1,1
Notre Dame,1,1
Ohio,,
Ohio State,1,1
Oklahoma,1,1
Oklahoma State,1,1
Oregon,1,1
Oregon State,1,1
Penn State,1,1
Pittsburgh,1,1
Purdue,1,1
Rice,,
Rutgers,1,1
San Diego State,,
San Jose State,,
South Carolina,1,1
South Florida,1,1
Southern California,1,1
Southern Methodist,,
Southern Mississippi,,
Stanford,1,1
Syracuse,1,1
Temple,,
Tennessee,1,1
Texas,1,1
Texas A&M,1,1
Texas Christian,,
Texas El Paso,,
Texas Tech,1,1
Toledo,,
Troy,,
Tulane,,
Tulsa,,
UCLA,1,1
UL Lafayette,,
UL Monroe,,
UNLV,,
Utah,,
Utah State,,
Vanderbilt,1,1
Virginia,1,1
Virginia Tech,1,1
Wake Forest,1,1
Washington,1,1
Washington State,1,1
West Virginia,1,1
Western Kentucky,,
Western Michigan,,
Wisconsin,1,1
Wyoming,,
